sza_deg,mu0_cos_sza,total_direct_horiz,total_diffuse_down_horiz,total_diffuse_up_horiz,total_global_horiz,dni_reconstructed,ghi_from_identity,ghi_check_error,n_points
82.0,0.13917310096006547,75544.36978497572,22760.904457878,-2.908161623846963e-12,98305.27424285372,542808.6984039575,98305.2742428537,1.4551915228366852e-11,801
82.5,0.1305261922200517,69100.3104332508,22048.031959195,-2.092890904384797e-13,91148.3423924458,529398.040791352,91148.34239244579,1.4551915228366852e-11,801
83.0,0.12186934340514749,62783.21196977297,21299.151049996,1.4810179567683112e-12,84082.36301976896,515168.21388832683,84082.36301976896,0.0,801
83.5,0.11320321376790683,56613.84946399971,20512.552527317,1.662663867364016e-13,77126.40199131671,500108.1469300986,77126.4019913167,1.4551915228366852e-11,801
84.0,0.10452846326765346,50606.34924779198,19686.1065106845,1.5236938081426728e-12,70292.45575847647,484139.4168228647,70292.45575847648,-1.4551915228366852e-11,801
84.5,0.09584575252022406,44779.67407136976,18817.903344025002,3.737283511507296e-12,63597.577415394764,467205.6183389135,63597.57741539476,7.275957614183426e-12,801
85.0,0.08715574274765814,39155.04096295253,17906.163592062,9.63526416706365e-13,57061.20455501453,449253.7121313744,57061.20455501453,0.0,801
85.5,0.078459095727845,33755.468663946645,16949.5808880875,-7.339237453223929e-13,50705.04955203415,430230.1517855359,50705.04955203415,0.0,801
86.0,0.06975647374412523,28608.191586291614,15947.881598521999,3.3312443344894175e-13,44556.073184813606,410115.2201475916,44556.07318481361,-7.275957614183426e-12,801
86.5,0.06104853953485691,23740.796419891976,14901.618171151,2.788490822760178e-13,38642.41459104297,388883.93728627503,38642.41459104298,-7.275957614183426e-12,801
87.0,0.052335956242943966,19184.946577698825,13812.982321167001,-1.3364151990256801e-12,32997.92889886582,366572.9635022266,32997.92889886582,0.0,801
87.5,0.04361938736533601,14972.817909491976,12686.712832922502,7.798696639922946e-14,27659.530742414478,343260.61904736335,27659.530742414478,0.0,801
88.0,0.03489949670250108,11137.781135715632,11530.4964468415,-6.443882661250313e-15,22668.27758255713,319138.7323049114,22668.27758255713,0.0,801
88.5,0.02617694830787314,7712.041359485022,10356.397051960499,2.4613184028678767e-14,18068.43841144552,294611.93370525556,18068.438411445524,-3.637978807091713e-12,801
89.0,0.0174524064372836,4722.177109288345,9182.3540149055,-1.676737083615593e-13,13904.531124193845,270574.5552200957,13904.531124193845,0.0,801
89.5,0.008726535498373897,2174.6156056998825,8035.54794723545,1.204259632922361e-13,10210.163552935332,249195.7554180695,10210.163552935333,-1.8189894035458565e-12,801
90.0,6.123233995736766e-17,,,,,,,,1
