Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
323.00,210.27,209.54,209.75,210.45,211.12,210.09,210.15,210.88,211.88,211.37,211.12,210.97,211.12,209.78,210.57,208.77,209.38,209.50,210.51,211.79,209.38,208.13,209.35,210.79,210.00,211.15,210.57,210.42,209.66,207.31,207.52,207.22,208.62,207.61,210.17,209.75,209.78,210.15,209.69,209.57,209.38,208.50,207.07,208.16,204.87,206.18,205.91,205.32,204.90,206.70,204.84,206.00,205.45,203.56,205.20,205.39,
324.00,226.21,224.90,225.16,226.71,227.55,226.79,225.73,226.93,228.61,228.26,227.67,226.94,227.31,225.85,227.25,225.77,226.20,225.70,227.05,227.91,225.70,223.87,225.56,226.38,226.03,228.25,227.29,226.47,225.25,223.43,224.23,223.40,223.94,224.93,226.11,225.84,226.30,225.98,227.01,225.36,225.13,224.35,223.73,224.24,221.30,223.01,222.32,221.20,221.20,221.97,220.83,222.01,220.40,220.10,221.44,221.56,
325.00,243.89,241.02,242.39,243.65,244.81,243.77,242.63,243.74,245.74,246.31,245.16,244.33,245.02,243.54,244.55,243.20,243.97,243.64,243.96,245.83,242.76,241.11,243.65,243.58,243.13,245.08,245.70,244.58,242.25,239.89,240.66,240.26,241.05,242.86,242.37,243.83,244.71,242.67,244.89,242.56,242.73,240.85,241.07,241.24,239.67,239.46,239.28,237.87,238.57,238.32,237.71,238.82,237.75,237.45,237.81,238.46,
326.00,262.87,259.58,260.43,261.64,262.76,261.90,261.01,261.11,263.84,263.81,263.38,262.99,262.97,262.37,262.90,261.53,261.85,262.32,262.13,263.55,261.44,258.78,262.49,261.83,261.90,263.69,264.41,263.08,261.07,258.12,258.83,257.78,259.26,261.14,260.53,262.05,263.22,260.45,262.60,260.60,260.99,258.40,259.37,258.69,257.61,256.15,256.97,256.50,256.88,256.13,255.33,256.66,254.98,255.33,254.91,256.75,
327.00,279.60,276.69,276.55,278.06,278.62,278.96,277.57,277.80,280.56,280.67,280.59,280.07,279.01,279.30,280.35,278.86,278.65,278.81,279.28,279.39,278.64,275.50,279.50,278.96,278.79,280.56,280.91,279.76,277.63,275.38,275.98,273.39,274.89,278.42,277.11,278.96,279.85,276.44,278.20,277.38,277.88,276.00,276.52,275.12,274.88,273.47,273.88,273.51,273.75,271.63,272.16,273.28,271.08,272.25,271.80,273.00,
328.00,293.04,291.62,290.36,291.81,291.83,293.13,291.66,292.60,294.21,294.64,295.36,293.75,293.76,293.90,293.58,293.64,293.17,292.72,292.76,292.70,292.16,289.84,293.63,293.28,293.63,294.52,294.67,293.28,291.34,288.94,290.38,287.69,288.05,292.07,290.76,292.60,293.73,288.93,292.46,291.24,290.65,290.12,290.79,289.41,289.65,288.07,288.19,286.29,287.84,284.69,286.00,286.41,284.44,285.79,285.86,285.59,
329.00,305.17,303.25,301.86,303.25,303.83,305.00,303.06,304.33,305.72,306.13,307.17,305.36,306.08,306.59,305.48,304.43,304.64,304.47,304.33,304.76,304.02,301.76,305.53,305.24,305.96,306.25,306.78,304.98,302.84,300.05,300.89,299.29,299.19,302.79,302.17,304.48,305.10,300.39,303.99,302.96,301.40,301.01,301.52,301.09,301.71,298.93,300.20,297.87,299.60,295.73,296.81,297.19,295.54,297.84,296.40,296.23,
330.00,314.33,313.47,311.34,313.00,313.36,314.80,313.47,313.72,315.04,315.64,316.48,314.68,314.92,316.23,314.81,313.37,314.09,313.72,313.61,313.96,313.38,310.74,314.33,314.33,316.35,315.16,314.47,314.92,312.53,309.31,310.50,307.89,308.48,312.17,311.23,314.21,314.93,310.73,313.02,312.18,310.98,310.86,310.99,310.15,310.63,307.53,309.43,307.88,308.13,304.89,305.97,307.03,304.89,306.69,305.25,306.08,
331.00,320.24,320.24,317.94,319.04,319.35,320.58,318.91,320.94,321.63,322.48,322.87,321.10,321.35,322.20,320.75,320.07,320.89,319.22,320.78,320.50,319.38,317.08,320.25,321.04,321.45,321.55,320.46,320.90,319.08,316.47,317.34,313.97,314.64,317.96,316.93,320.61,320.43,317.60,318.99,318.98,317.85,318.40,317.17,317.56,317.11,314.48,315.86,313.60,313.91,312.38,312.83,313.71,311.24,312.48,312.44,311.72,
332.00,323.79,323.68,321.56,323.05,323.75,324.81,322.97,324.58,325.35,326.84,327.35,323.99,326.14,325.98,324.57,323.83,325.47,322.69,324.18,324.38,322.89,321.45,323.56,324.97,325.08,325.63,324.81,324.73,322.42,320.08,321.10,317.89,318.52,321.64,321.01,324.22,324.03,321.68,322.77,322.85,321.05,322.50,321.17,321.68,320.47,318.55,319.61,317.03,317.85,316.60,315.90,316.80,314.34,316.33,316.92,315.39,
333.00,324.74,323.88,322.72,323.47,325.85,325.44,324.51,324.92,325.96,328.22,328.16,324.86,326.71,326.37,325.61,324.28,326.48,323.59,324.98,325.61,323.59,321.73,324.80,325.50,326.25,326.66,326.14,326.31,323.47,320.34,321.15,318.08,319.76,322.54,321.73,325.38,325.38,322.66,323.47,323.53,323.24,323.53,322.20,321.96,321.56,319.30,319.30,318.20,318.26,317.45,316.06,317.33,315.53,317.16,316.98,317.04,
