sza_deg,mu0_cos_sza,total_direct_horiz,total_diffuse_down_horiz,total_diffuse_up_horiz,total_global_horiz,dni_reconstructed,ghi_from_identity,ghi_check_error
62.5,0.46174861323503386,326331.282879435,42166.00010634,6.100074510131988e-12,368497.28298577503,706729.3187804978,368497.282985775,5.820766091346741e-11
63.0,0.4539904997395468,319420.280787225,41930.847543275,1.149882147824072e-12,361351.1283305,703583.623380832,361351.1283305,0.0
63.5,0.4461978131098087,312493.51423206495,41689.638808325,-7.850773696144768e-12,354183.15304039,700347.4805358597,354183.15304038994,5.820766091346741e-11
64.0,0.43837114678907746,305552.23630611505,41442.152568765,-2.088899213952221e-12,346994.38887488,697017.2159919359,346994.38887488004,-5.820766091346741e-11
64.5,0.43051109680829525,298597.7122781145,41188.16812959,-1.012216445133346e-12,339785.8804077045,693588.8865393841,339785.8804077045,0.0
65.0,0.42261826174069944,291631.311182892,40927.414742965004,-1.1900858331313875e-11,332558.72592585697,690058.470217798,332558.725925857,-5.820766091346741e-11
65.5,0.41469324265623914,284654.34988496103,40659.647118925,2.5973671332461585e-12,325313.99700388603,686421.4812415593,325313.99700388603,0.0
66.0,0.4067366430758002,277668.298353515,40384.58710743499,-6.502374111400088e-13,318052.88546095,682673.4278321911,318052.88546094997,5.820766091346741e-11
66.5,0.39874906892524625,270674.608539561,40101.971388745,4.651103846928195e-12,310776.579928306,678809.3807193429,310776.579928306,0.0
67.0,0.3907311284892737,263674.7764536675,39811.48545929,-2.523057110973276e-12,303486.26191295753,674824.0854859503,303486.2619129575,5.820766091346741e-11
67.5,0.38268343236508984,256670.4172186535,39512.812684825,-5.452053939503297e-12,296183.22990347847,670712.1226345209,296183.2299034785,-5.820766091346741e-11
68.0,0.37460659341591196,249663.1661290905,39205.610837985,-7.507464760498257e-13,288868.7769670755,666467.6236808748,288868.7769670755,0.0
68.5,0.3665012267242973,242654.745284946,38889.532604335,5.478963258511016e-13,281544.277889281,662084.401336764,281544.277889281,0.0
69.0,0.3583679495453004,235646.94775642024,38564.20439999,-1.4484620688033651e-12,274211.1521564103,657555.8669669278,274211.1521564102,5.820766091346741e-11
69.5,0.35020738125946743,228641.6202560288,38229.226117494996,2.526844707812556e-12,266870.8463735238,652874.9320866799,266870.8463735238,0.0
70.0,0.3420201433256688,221640.71898488322,37884.179761374995,5.3664783934163025e-12,259524.8987462582,648034.1094233117,259524.89874625823,-2.9103830456733704e-11
70.5,0.3338068592337709,214646.29548143497,37528.622771825,-4.252229443128353e-12,252174.91825325997,643025.4188728768,252174.91825325997,0.0
71.0,0.32556815445715676,207660.4941139939,37162.08382686,2.1035673238407934e-12,244822.5779408539,637840.3147575696,244822.5779408539,0.0
71.5,0.3173046564050921,200685.57381552766,36784.049779945,4.685629818645244e-13,237469.62359547266,632469.6778458845,237469.62359547266,0.0
72.0,0.30901699437494745,193723.91228958179,36393.999125270006,5.032086526258583e-13,230117.9114148518,626903.7490362935,230117.91141485175,5.820766091346741e-11
72.5,0.30070579950427306,186778.01797191496,35991.364123275,-1.4920154208572365e-12,222769.38209518994,621132.0775316834,222769.38209518997,-2.9103830456733704e-11
73.0,0.29237170472273677,179850.56663773948,35575.548457625,8.96601105316625e-09,215426.11509536448,615143.5441001247,215426.11509536448,0.0
73.5,0.28401534470392276,172944.39515588764,35145.92097477,-1.1795959758130238e-10,208090.31613065762,608926.2371938983,208090.31613065765,-2.9103830456733704e-11
74.0,0.27563735581699916,166062.4320460165,34701.794028005,-1.981033191000714e-12,200764.22607402154,602467.0769090836,200764.22607402148,5.820766091346741e-11
74.5,0.26723837607825696,159207.91173718232,34242.452826254,2.36919412489652e-11,193450.3645634363,595752.4292490109,193450.3645634363,0.0
75.0,0.25881904510252074,152384.21844948002,33767.126089007,-1.2896451281478941e-08,186151.34453848703,588767.4084769115,186151.34453848703,0.0
75.5,0.2503800040544415,145595.00329604483,33274.9746750485,-8.882783965301951e-11,178869.97797109332,581496.1296365636,178869.97797109332,0.0
76.0,0.24192189559966767,138844.14559400757,32765.147612577,-1.433071946259877e-12,171609.29320658458,573921.3693322197,171609.29320658458,0.0
76.5,0.23344536385590547,132135.83994974868,32236.701115056,2.11194970069679e-12,164372.5410648047,566024.6910335291,164372.54106480468,2.9103830456733704e-11
77.0,0.22495105434386492,125474.62191338689,31688.6527931725,-1.3955550275609925e-12,157163.27470655937,557786.3250268822,157163.27470655937,0.0
77.5,0.2164396139381029,118865.35086940519,31119.933942914,-2.4745708667262246e-13,149985.2848123192,549184.822069578,149985.2848123192,0.0
78.0,0.20791169081775945,112313.31000717921,30529.402553100495,-6.62765674247094e-12,142842.7125602797,540197.1845134242,142842.7125602797,0.0
78.5,0.1993679344171972,105824.26455037657,29915.886615677002,1.401068404650294e-13,135740.15116605355,530798.8210828768,135740.15116605355,0.0
79.0,0.19080899537654492,99404.43124387792,29278.097387734997,-8.785012616585575e-13,128682.52863161293,520963.0240320271,128682.52863161292,1.4551915228366852e-11
79.5,0.18223552549214744,93060.6480123625,28614.684093288,-7.972327119133944e-13,121675.3321056505,510661.3968985564,121675.3321056505,0.0
80.0,0.17364817766693041,86800.38101294356,27924.211801197005,8.80692818335971e-13,114724.59281414056,499863.4721029603,114724.59281414056,0.0
80.5,0.1650476058606776,80631.80724030922,27205.176722456497,-1.3173517899837496e-12,107836.98396276572,488536.6668594595,107836.98396276572,0.0
81.0,0.15643446504023092,74563.94299938303,26456.001371841503,6.66021602359802e-13,101019.94437122453,476646.517634123,101019.94437122453,0.0
81.5,0.14780941112961055,68606.70259901695,25675.042242359003,-1.9939758710550998e-13,94281.74484137594,464156.52477539046,94281.74484137596,-1.4551915228366852e-11
82.0,0.13917310096006547,62771.0207985809,24860.610780958,5.584289041718297e-13,87631.63157953891,451028.39820025646,87631.6315795389,1.4551915228366852e-11
82.5,0.1305261922200517,57068.98536053109,24011.000871730997,-1.5990845298894378e-12,81079.98623226209,437222.4791811864,81079.98623226209,0.0
83.0,0.12186934340514749,51511.402280136215,23123.972141404996,3.090649204645281e-13,74635.37442154123,422677.27749126847,74635.37442154122,1.4551915228366852e-11
83.5,0.11320321376790683,46118.09656347901,22198.6609686165,5.300040312104742e-13,68316.75753209551,407392.11395563325,68316.75753209551,0.0
84.0,0.10452846326765346,40902.88866331625,21233.287961264003,9.641454407306523e-13,62136.17662458024,391308.619534386,62136.17662458025,-7.275957614183426e-12
84.5,0.09584575252022406,35883.73017785975,20226.928867514,-1.3837565137901573e-13,56110.65904537375,374390.4057750295,56110.659045373744,7.275957614183426e-12
85.0,0.08715574274765814,31080.31130235539,19178.549302147,1.6398104107205932e-12,50258.86060450239,356606.5794693777,50258.86060450239,0.0
85.5,0.078459095727845,26513.433516120014,18088.037060437502,3.5109787431678514e-13,44601.47057655752,337926.83015476615,44601.47057655752,0.0
86.0,0.06975647374412523,22207.423346482938,16955.995194781,1.2270006425762415e-12,39163.41854126394,318356.4500112537,39163.418541263934,7.275957614183426e-12
86.5,0.06104853953485691,18186.576243672767,15784.657824958002,4.367416062976029e-14,33971.234068630765,297903.5433483019,33971.23406863077,-7.275957614183426e-12
87.0,0.052335956242943966,14476.039490464875,14577.8029032285,9.669061748318519e-13,29053.842393693376,276598.35664924077,29053.842393693376,0.0
87.5,0.04361938736533601,11103.780826159646,13341.880962387502,1.131627647264766e-12,24445.66178854715,254560.67810305228,24445.66178854715,0.0
88.0,0.03489949670250108,8095.5767749811175,12086.8879021375,-2.7633925649398777e-13,20182.464677118616,231968.29581788628,20182.464677118616,0.0
88.5,0.02617694830787314,5476.247569840089,10827.867724434,6.415254469772405e-13,16304.11529427409,209201.14542889706,16304.115294274088,1.8189894035458565e-12
89.0,0.0174524064372836,3266.0880841425105,9588.6026494395,-1.3704385829487963e-13,12854.69073358201,187142.56374210736,12854.69073358201,0.0
89.5,0.008726535498373897,1471.383598550341,8413.05994974,-2.83830038139237e-13,9884.443548290341,168610.28054312262,9884.443548290341,0.0
90.0,6.123233995736766e-17,,,,,,,
