sza_deg,mu0_cos_sza,total_direct_horiz,total_diffuse_down_horiz,total_diffuse_up_horiz,total_global_horiz,dni_reconstructed,ghi_from_identity,ghi_check_error,ecc_factor,total_global_horiz_corr,total_diffuse_down_horiz_corr,dni_reconstructed_corr
30.0,0.8660254037844387,699515.818727,50134.72219645,2.495680663251597e-11,749650.54092345,807731.2924888697,749650.54092345,0.0,0.9956105146843716,746359.9608822137,49914.65656956557,804185.7678415163
30.5,0.8616291604415258,695367.8736970001,50076.70447700001,-1.7156669922442158e-12,745444.578174,807038.4634390412,745444.5781740001,-1.1641532182693479e-10,0.9956105146843716,742172.4601444905,49856.89351804315,803495.9799546282
31.0,0.8571673007021123,691159.326275,50017.3980695,6.411512022054926e-11,741176.7243445,806329.5528292622,741176.7243445,0.0,0.9956105146843716,737923.3399967042,49797.84743514799,802790.1810975609
31.5,0.8526401643540923,686890.6226069999,49956.79991464999,1.6527142682872374e-11,736847.42252165,805604.3467379302,736847.42252165,0.0,0.9956105146843716,733613.0415806326,49737.515275008845,802068.1582877176
32.0,0.848048096156426,682562.2086135,49894.88824955,3.657228929981376e-11,732457.09686305,804862.6153481731,732457.09686305,0.0,0.9956105146843716,729241.9871920418,49675.87537025368,801329.682717004
32.5,0.8433914458128857,678174.4103649999,49831.6770252,1.5473542066974742e-11,728006.0873902,804103.9706199003,728006.0873901999,1.1641532182693479e-10,0.9956105146843716,724810.5153599126,49612.941610644746,800574.3680486256
33.0,0.838670567945424,673727.7164645,49767.04433905,-2.997499775664303e-11,723494.76080355,803328.1984784547,723494.7608035499,1.1641532182693479e-10,0.9956105146843716,720318.9911750688,49548.59262872151,799802.0011476033
33.5,0.8338858220671682,669222.5619475001,49700.9283428,2.710276353913128e-12,718923.4902903,802535.004478821,718923.4902903001,-1.1641532182693479e-10,0.9956105146843716,715767.7861866103,49482.76684766618,799012.2888613833
34.0,0.8290375725550417,664659.2295649999,49633.5248285,-9.244354509032463e-12,714292.7543935,801723.8923400805,714292.7543934999,1.1641532182693479e-10,0.9956105146843716,711157.3768370299,49415.65920010242,798204.7370874652
34.5,0.8241261886220157,660038.3454665,49564.74390985,-1.8417012596078124e-11,709603.0893763499,800894.7592966564,709603.08937635,-1.1641532182693479e-10,0.9956105146843716,706488.2970356079,49347.18019428483,797379.2435113599
35.0,0.8191520442889918,655360.2460245,49494.4794488,-3.3474468549128247e-11,704854.7254733,800047.1348311657,704854.7254733,0.0,0.9956105146843716,701760.7760061836,49277.224158054814,796535.3396810136
35.5,0.8141155183563192,650625.39222,49422.65366085,-2.5091309075640468e-11,700048.0458808499,799180.678355816,700048.04588085,-1.1641532182693479e-10,0.9956105146843716,696975.1952632215,49205.71364834631,795672.6865036392
36.0,0.8090169943749475,645834.2514064999,49349.38936615,-1.4663133048952345e-11,695183.64077265,798295.036936123,695183.6407726499,1.1641532182693479e-10,0.9956105146843716,692132.1423898133,49132.77094619205,794790.9325939529
36.5,0.8038568606172173,640987.2702299999,49274.59807815,-1.4979664851980666e-11,690261.86830815,797389.8110888015,690261.8683081499,1.1641532182693479e-10,0.9956105146843716,687231.9739732731,49058.307953452466,793889.6802221955
37.0,0.7986355100472928,636084.9458239999,49198.30605220001,-1.059624214606484e-11,685283.2518762,796464.6422826013,685283.2518762,0.0,0.9956105146843716,682275.2111050433,48982.350810230084,792968.5724308846
37.5,0.7933533402912352,631127.7603085,49120.41723715,3.5731441499463804e-11,680248.1775456499,795519.1315849466,680248.17754565,-1.1641532182693479e-10,0.9956105146843716,677262.2381593303,48904.80388698999,792027.2120385531
38.0,0.7880107536067219,626116.2249695001,49040.88218915,8.6540603579203e-12,675157.10715865,794552.8942387763,675157.1071586501,-1.1641532182693479e-10,0.9956105146843716,672193.5149510349,48825.61795691526,791065.2159770251
38.5,0.7826081568524139,621050.7319345,48959.7055044,-5.8247001419563015e-12,670010.4374389,793565.3704815898,670010.4374389,0.0,0.9956105146843716,667069.4364624441,48744.79759603094,790082.0269408696
39.0,0.7771459614569709,615931.901437,48876.8600858,8.491214414592409e-12,664808.7615228,792556.2661128272,664808.7615228,0.0,0.9956105146843716,661890.5932263945,48662.31582617936,789077.3520209157
39.5,0.77162458338772,610760.1093255,48792.328731550006,5.539160127226089e-12,659552.43805705,791524.9494048454,659552.43805705,0.0,0.9956105146843716,656657.3423153117,48578.15552106755,788050.5622624792
40.0,0.766044443118978,605535.99573,48706.05199655,-5.78078731386033e-13,654242.0477265499,790471.1027790215,654242.0477265499,0.0,0.9956105146843716,651370.2618651876,48492.25749652891,787001.3414809443
40.5,0.7604059656000309,600260.0293004999,48617.997783,1.0283018809240024e-11,648878.0270835,789394.161087149,648878.0270834999,1.1641532182693479e-10,0.9956105146843716,646029.786511983,48404.58979565626,785929.1270088141
41.0,0.754709580222772,594932.765042,48528.13989195,-6.923660112695429e-13,643460.9049339499,788293.6438495854,643460.9049339499,0.0,0.9956105146843716,640636.4427405613,48315.126334499524,784833.4404755045
41.5,0.7489557207890021,589554.6716215,48436.4414125,9.345166496931596e-12,637991.1130339999,787168.927690975,637991.113034,-1.1641532182693479e-10,0.9956105146843716,635190.6604118358,48223.83036417853,783713.6612419565
42.0,0.7431448254773942,584126.34437855,48342.8532694,1.12186319074704e-11,632469.1976479499,786019.5272211023,632469.1976479499,0.0,0.9956105146843716,629692.9833922869,48130.65302485839,782569.306048568
42.5,0.7372773368101241,578648.3618826501,48247.35552075,-9.82783892659919e-12,626895.7174034,784844.9056988622,626895.7174034001,-1.1641532182693479e-10,0.9956105146843716,624143.9678574274,48035.57446217377,781399.8405102512
43.0,0.7313537016191705,573121.26326195,48149.90524705001,-1.90932960249053e-12,621271.168509,783644.4417975817,621271.168509,0.0,0.9956105146843716,618544.1078378065,47938.551945019186,780204.6460276374
43.5,0.7253743710122877,567545.6378535001,48050.45543655,-5.294645782122492e-12,615596.09329005,782417.5495220053,615596.09329005,0.0,0.9956105146843716,612893.9432781951,47839.53866800201,778983.1391776884
44.0,0.7193398003386512,561921.9665344,47948.9527941,2.8829558607937738e-11,609870.9193285,781163.4588686154,609870.9193285,0.0,0.9956105146843716,607193.8998836788,47738.48156991053,777734.5533368061
44.5,0.7132504491541817,556250.9650612499,47845.36301185,8.988485520296039e-12,604096.3280731,779881.6891330221,604096.3280731,0.0,0.9956105146843716,601444.656111798,47635.34649348857,776458.4099106452
45.0,0.7071067811865476,550533.14667205,47739.64932065,2.171420607185436e-11,598272.7959926999,778571.4425595495,598272.7959927,-1.1641532182693479e-10,0.9956105146843716,595646.68633995,47530.096830983755,775153.9146452667
45.5,0.7009092642998509,544769.16204525,47631.7575331,5.458795481226549e-13,592400.9195783499,777232.0752379101,592400.9195783499,0.0,0.9956105146843716,589800.5844408959,47422.67863285088,773820.4264568179
46.0,0.6946583704589973,538959.6318864,47521.6364205,-6.2853271176679775e-12,586481.2683068999,775862.8626763413,586481.2683069,-1.1641532182693479e-10,0.9956105146843716,583906.9173917756,47313.04089525758,772457.224033682
46.5,0.6883545756937539,533105.07533425,47409.2176661,4.349522924792112e-12,580514.29300035,774462.8918852807,580514.29300035,0.0,0.9956105146843716,577966.1340357126,47201.11560132922,771063.3983938511
47.0,0.6819983600624985,527206.2770881,47294.47757329999,6.017872991794724e-13,574500.7546614,773031.5906328377,574500.7546614,0.0,0.9956105146843716,571978.9920349963,47086.87915848167,769638.379817238
47.5,0.6755902076156602,521263.76380470005,47177.35012455,-8.499103664324004e-13,568441.11392925,771567.968168722,568441.11392925,0.0,0.9956105146843716,565945.9500068581,46970.26583894803,768181.1819024361
48.0,0.6691306063588582,515278.24035605,47057.77551635,-9.30069695593764e-12,562336.0158724,770071.2468676161,562336.0158724,0.0,0.9956105146843716,559867.6501882791,46851.21610173484,766691.030437503
48.5,0.6626200482157375,509250.3465946,46935.68272265,-3.302822853692638e-12,556186.02931725,768540.5051746895,556186.02931725,0.0,0.9956105146843716,553744.6589088043,46729.659232559934,765167.0079127596
49.0,0.6560590289905073,503180.7271063,46811.0296808,-2.3261356439529184e-11,549991.7567871,766974.7764626538,549991.7567871,0.0,0.9956105146843716,547577.5760469664,46605.55335340668,763608.1519439135
49.5,0.6494480483301837,497070.107088,46683.74975285,-6.649053987432697e-12,543753.85684085,765373.1632053289,543753.85684085,0.0,0.9956105146843716,541367.0572709307,46478.83211883139,762013.568944463
50.0,0.6427876096865394,490919.20882745006,46553.7710703,6.173033389999574e-12,537472.9798977501,763734.7102363264,537472.9798977501,0.0,0.9956105146843716,535113.7501449418,46349.423975799786,760382.3079407084
50.5,0.636078220277764,484728.64712705,46421.0154682,5.012658490172916e-12,531149.66259525,762058.2369812594,531149.66259525,0.0,0.9956105146843716,528818.1889508871,46217.25110246577,758713.1935403765
51.0,0.6293203910498375,478499.16055555,46285.42820535,2.2415046286889515e-11,524784.5887609,760342.6924675263,524784.5887609,0.0,0.9956105146843716,522481.05451466586,46082.25899791504,757005.1793840947
51.5,0.6225146366376195,472231.55050255,46146.93271605,4.572736275248567e-12,518378.4832185999,758587.0639977371,518378.4832186,-5.820766091346741e-11,0.9956105146843716,516103.06847857416,45944.37143253161,755257.2572196934
52.0,0.6156614753256583,465926.46204635,46005.44657905,-1.6129583749784142e-11,511931.9086254,756790.0229584692,511931.9086254,0.0,0.9956105146843716,509684.79102988716,45803.50634685234,753468.1042656789
52.5,0.6087614290087207,459584.6617226,45860.87933615001,-7.299940680032983e-12,505445.54105875,754950.3628555553,505445.54105875,0.0,0.9956105146843716,503226.89527842274,45659.57367974217,751636.5193237724
53.0,0.6018150231520484,453206.9700956,45713.1699227,-9.805220547255848e-13,498920.1400183,753066.8937473457,498920.1400183,0.0,0.9956105146843716,496730.1373900184,45512.51263459348,749761.3176755558
