Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
323.00,82.70,79.17,74.81,71.55,69.14,67.12,64.21,63.68,62.35,61.57,61.56,62.46,65.31,68.05,71.57,75.35,78.33,81.62,84.85,87.75,91.52,95.43,100.18,105.59,109.76,113.22,115.88,116.87,118.74,120.45,123.70,127.31,129.85,134.05,135.06,135.55,134.22,133.79,133.04,132.27,132.18,132.85,132.84,132.35,132.98,132.67,134.81,136.80,140.30,144.78,149.69,154.93,
324.00,88.84,84.61,80.69,76.77,74.13,71.80,69.00,68.29,66.90,66.18,66.22,67.29,70.07,73.04,76.79,80.83,84.33,87.72,91.05,94.26,98.18,102.36,107.61,113.28,117.56,121.34,124.18,125.54,127.62,129.39,132.74,136.52,139.50,143.57,145.06,145.65,144.60,143.98,142.76,142.26,142.03,142.91,142.45,141.94,142.58,142.56,144.85,147.05,150.65,155.37,160.36,166.15,
325.00,95.44,90.88,86.47,82.01,79.39,77.24,73.99,73.32,72.02,70.86,70.95,72.28,75.33,78.47,82.51,86.49,90.53,94.12,97.89,101.10,105.49,109.84,115.78,121.32,126.60,130.06,133.14,134.45,137.23,138.90,142.13,146.09,149.80,153.61,155.08,155.66,155.53,154.59,153.31,152.85,152.11,153.13,152.63,152.33,152.66,153.05,155.18,157.84,161.61,167.18,172.22,178.10,
326.00,102.00,97.40,92.09,87.79,85.32,82.84,79.00,78.54,77.09,75.79,75.97,77.31,80.68,84.01,88.37,92.72,96.90,100.60,104.65,108.11,112.73,117.40,123.66,129.94,135.43,139.08,142.41,143.77,146.53,148.46,151.82,156.44,160.04,164.56,165.97,166.67,166.05,164.88,163.51,163.38,162.78,164.18,163.62,163.42,163.55,163.85,166.05,168.69,172.92,179.11,184.07,190.73,
327.00,107.66,102.95,97.50,93.20,90.16,87.56,83.71,83.23,81.62,80.46,80.58,81.96,85.43,89.02,93.49,98.40,102.84,106.85,110.95,114.74,119.45,124.56,131.23,137.93,143.43,147.47,151.23,152.31,155.35,157.77,161.15,165.76,170.07,174.10,176.31,176.96,175.89,174.95,173.72,173.30,172.84,173.94,173.67,173.24,173.27,173.95,175.83,179.16,183.49,189.80,195.26,202.46,
328.00,112.88,107.78,102.11,97.30,94.13,91.92,87.50,87.18,85.48,84.15,84.16,85.75,89.55,93.40,97.78,102.91,107.60,111.79,116.24,120.18,125.00,130.35,137.81,144.04,150.51,154.53,158.27,159.10,162.31,165.09,168.70,173.28,178.50,181.83,184.24,185.27,184.75,182.99,181.98,181.61,180.84,181.66,181.25,181.45,181.26,182.03,183.77,187.88,192.00,199.25,204.64,211.84,
329.00,117.07,111.93,105.62,100.83,97.55,95.57,90.59,90.39,88.63,87.14,87.21,88.79,92.80,96.80,101.47,106.75,111.25,115.60,120.37,124.40,129.43,135.09,142.80,149.26,156.09,160.18,164.29,164.74,167.67,171.02,174.47,179.79,184.90,188.68,191.02,191.91,190.94,189.06,188.56,187.95,187.24,187.99,187.86,188.25,187.92,188.64,190.35,194.27,198.82,206.46,212.01,219.64,
330.00,120.19,114.94,108.41,103.96,100.24,97.91,93.03,92.87,90.87,89.64,89.71,91.27,95.47,99.34,104.11,109.81,114.30,118.91,123.59,127.81,132.83,138.95,146.83,153.94,160.16,164.45,168.93,169.59,172.09,175.80,179.48,185.07,189.94,194.27,196.67,197.48,195.95,194.37,193.71,192.90,192.66,193.09,193.04,193.19,193.04,193.85,195.86,199.62,204.34,211.66,218.00,225.88,
331.00,122.26,116.94,110.28,105.55,101.78,99.74,94.72,94.53,92.51,91.16,91.27,93.02,97.19,101.13,105.86,111.64,116.35,120.90,125.93,130.33,135.17,141.48,149.51,156.64,163.13,167.34,171.66,172.74,175.14,179.19,182.87,187.87,193.58,197.33,200.22,200.86,199.86,198.19,197.54,196.68,195.98,196.34,196.07,196.39,196.07,197.25,199.48,203.47,207.95,215.52,222.10,229.88,
332.00,123.37,117.67,111.35,106.49,102.86,100.74,95.59,95.48,93.52,91.90,91.92,93.92,98.19,102.07,106.96,112.67,117.17,121.87,126.99,131.40,136.42,142.71,150.94,157.76,164.58,168.77,173.07,174.26,176.29,180.26,184.11,189.75,195.08,199.35,202.22,202.66,201.54,199.66,199.04,198.49,197.67,198.35,197.92,198.51,198.02,198.90,201.35,204.85,209.62,217.53,223.81,231.83,
333.00,123.41,117.80,111.43,106.70,103.02,100.26,95.65,95.50,93.43,91.96,92.06,94.04,98.23,101.80,106.90,112.76,117.11,122.00,126.93,131.26,136.36,142.65,150.64,158.19,164.45,168.50,173.14,174.48,176.47,180.27,183.91,189.68,194.71,199.76,202.42,202.72,201.10,199.99,198.97,198.14,198.02,198.81,198.44,198.39,197.91,199.06,201.50,204.81,209.77,217.16,223.86,232.04,
334.00,123.03,117.52,111.25,106.32,102.78,99.97,95.45,95.20,93.04,91.76,91.76,93.86,98.04,101.39,106.37,112.36,117.01,121.90,126.64,131.15,135.88,142.23,150.38,157.74,163.99,168.16,172.49,174.19,176.19,180.02,183.90,188.73,194.35,199.05,201.64,201.99,200.90,200.00,198.74,197.83,197.73,198.36,197.98,197.74,197.35,198.87,201.11,204.62,209.70,216.80,223.57,231.60,
335.00,122.67,117.26,111.16,106.15,102.68,100.06,95.29,94.96,92.96,91.55,91.52,93.64,97.85,101.31,106.38,112.10,116.84,121.57,126.44,130.91,135.67,141.77,150.09,156.90,163.87,168.12,172.06,173.74,175.93,179.56,183.81,188.84,194.21,198.99,201.36,201.68,200.86,199.36,198.40,197.65,197.17,198.04,197.30,197.50,197.34,198.53,200.65,204.14,209.49,217.03,223.23,231.44,
336.00,123.09,117.54,111.53,106.55,102.87,99.89,95.45,95.02,93.14,91.72,91.69,93.96,97.96,101.31,106.58,112.46,116.93,121.80,126.42,130.93,135.88,141.86,150.02,157.39,164.19,168.37,172.50,174.24,176.41,179.53,183.75,189.57,194.01,199.74,202.09,202.27,201.08,199.49,198.68,197.61,197.79,198.89,198.14,197.96,198.01,198.82,201.03,204.76,209.74,217.38,223.78,232.05,
337.00,123.92,118.29,112.00,106.77,103.15,100.46,95.99,95.30,93.51,92.30,92.18,94.47,98.48,101.77,107.13,112.89,117.77,122.48,127.12,131.77,136.53,142.63,150.79,158.23,165.02,169.31,173.42,175.51,177.39,180.97,184.94,190.35,195.46,200.57,202.93,203.23,202.46,201.33,200.37,198.91,199.11,199.75,198.94,198.59,198.99,200.40,202.16,206.06,211.30,218.80,225.09,233.52,
338.00,125.20,119.52,113.25,108.18,104.25,102.06,97.29,96.61,94.94,93.46,93.25,95.50,99.69,103.29,108.53,114.13,119.26,123.93,128.79,133.58,138.46,144.44,152.66,160.11,167.30,171.35,175.66,177.83,179.85,183.31,187.50,193.05,198.33,203.19,205.63,205.87,205.21,203.82,203.18,202.04,201.42,202.34,201.29,201.69,201.73,203.17,204.97,208.69,214.19,222.00,228.25,237.01,
339.00,127.25,121.39,115.11,110.19,105.73,103.65,98.86,98.24,96.60,94.98,94.99,97.16,101.18,105.17,110.48,116.17,121.17,126.03,130.92,135.73,140.96,146.86,155.30,163.00,169.98,174.32,178.90,180.91,182.99,186.53,190.37,196.78,201.67,206.97,209.26,209.81,208.65,207.22,206.73,205.45,205.19,205.97,205.09,205.36,205.55,206.73,208.67,212.02,217.93,225.85,232.43,241.12,
340.00,129.15,123.10,116.50,111.46,107.09,104.76,100.19,99.51,97.84,96.35,96.27,98.56,102.43,106.52,111.82,117.77,122.85,127.90,132.78,137.70,142.94,149.11,157.70,165.32,172.19,176.81,181.67,183.70,185.55,189.61,193.19,199.06,204.70,209.77,212.33,212.78,211.89,210.82,210.05,208.56,207.97,209.11,208.36,208.26,208.59,209.90,211.82,215.53,221.21,228.77,235.94,244.85,
