Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
325.00,174.31,184.62,178.46,196.15,169.39,159.46,155.97,154.18,151.03,147.56,144.74,142.40,142.68,141.07,139.25,137.42,137.24,140.61,141.89,139.74,134.83,132.85,136.51,137.44,140.46,139.51,126.73,127.15,106.74,101.95,102.54,94.52,91.13,89.70,81.99,80.51,84.92,78.62,71.08,66.08,65.59,71.86,70.79,73.41,66.97,66.67,68.08,66.54,63.73,64.21,69.34,68.78,68.64,67.61,
326.00,187.56,198.28,191.26,210.18,181.57,171.17,167.02,165.54,161.63,158.36,155.27,152.87,152.77,151.36,149.03,147.29,147.08,150.64,152.05,149.88,144.90,142.55,146.12,147.35,150.75,149.41,135.92,136.70,114.54,109.13,109.92,101.25,97.54,95.93,87.94,86.39,91.00,84.46,76.26,71.01,70.53,77.15,76.06,78.86,72.06,71.56,73.18,71.65,68.34,68.90,74.47,74.00,73.76,72.74,
327.00,199.38,210.59,202.88,223.37,192.67,181.61,177.29,175.67,171.10,167.94,164.76,162.02,162.37,160.88,158.07,156.27,156.00,159.91,161.36,159.22,153.94,151.09,155.07,156.26,159.65,158.52,144.52,145.13,121.40,115.83,116.98,107.66,103.62,101.89,93.45,91.86,96.69,89.83,81.08,75.47,75.02,82.05,80.97,83.93,76.55,76.22,77.97,76.06,72.71,73.39,79.25,78.60,78.50,77.27,
328.00,209.34,220.89,212.66,234.22,201.43,189.73,185.89,184.08,178.99,175.91,172.40,169.61,170.06,168.34,165.55,163.35,163.29,167.13,168.75,166.45,160.74,158.03,162.13,163.58,167.12,165.82,151.32,152.05,127.05,121.02,122.52,112.91,108.47,106.87,97.73,96.13,101.41,94.19,84.93,79.10,78.59,85.96,84.91,88.12,80.16,80.09,81.75,79.96,76.31,77.09,83.18,82.34,82.21,81.08,
329.00,217.27,228.95,220.70,242.97,208.84,196.38,192.57,190.88,185.63,182.25,178.91,175.66,176.29,174.70,171.69,169.09,169.38,173.25,174.73,172.68,166.34,164.05,168.20,169.48,173.24,171.73,156.92,157.63,131.42,125.49,127.09,117.14,112.30,110.82,101.18,99.59,105.27,97.50,88.04,82.11,81.72,89.22,87.95,91.48,83.11,83.03,84.98,83.21,79.26,80.11,86.25,85.48,85.31,84.31,
330.00,223.49,235.71,227.31,250.27,214.43,201.68,197.81,196.14,190.84,187.50,183.50,180.58,181.15,179.90,176.48,173.52,173.71,178.00,179.44,177.10,170.65,168.61,172.75,174.04,178.19,176.34,161.11,161.77,135.27,128.89,130.47,120.48,115.19,113.80,103.66,102.32,108.17,100.10,90.48,84.61,84.06,91.72,90.46,94.18,85.51,85.33,87.38,85.59,81.56,82.36,88.72,87.91,87.81,86.59,
331.00,227.08,239.65,231.07,255.11,217.83,205.35,201.22,199.10,193.95,190.52,186.43,183.31,184.49,183.12,179.64,176.75,177.06,181.23,182.17,180.07,173.36,171.05,175.47,177.21,180.74,179.17,163.99,164.57,137.29,131.13,132.44,122.79,117.31,116.23,105.51,104.01,110.00,101.74,92.20,86.12,85.53,93.40,91.97,95.96,87.11,87.00,88.88,86.99,83.20,84.10,90.46,89.43,89.43,88.19,
332.00,228.93,241.98,233.07,257.60,219.33,207.06,203.12,200.80,195.40,192.06,187.89,185.03,186.11,184.69,181.17,178.29,178.34,182.50,183.50,181.75,174.66,172.45,176.63,178.65,182.36,180.75,165.46,165.93,138.74,132.18,133.24,124.05,118.22,117.04,106.25,104.79,110.84,102.54,93.11,86.75,86.34,94.31,92.61,96.95,88.14,87.72,89.60,87.94,83.83,84.96,91.47,90.36,90.33,89.01,
333.00,228.47,241.88,233.08,257.76,219.27,206.76,202.45,200.38,195.31,191.74,187.85,184.93,185.95,184.28,180.90,178.07,178.23,182.61,183.24,181.62,174.66,172.28,176.45,178.02,182.22,180.50,165.40,165.56,138.52,132.08,133.12,123.55,118.10,116.83,106.25,104.79,110.80,102.47,93.23,86.68,86.43,94.34,92.52,96.87,88.14,87.61,89.58,87.87,83.91,84.90,91.54,90.46,90.29,89.04,
334.00,227.57,241.37,232.48,257.51,218.35,206.10,201.52,199.46,194.31,190.83,186.70,184.50,185.05,183.30,180.09,177.47,177.38,182.06,182.24,180.87,174.39,171.50,175.39,177.39,181.53,179.99,164.91,165.26,137.97,131.52,132.82,122.92,117.80,116.35,106.03,104.54,110.31,102.16,92.96,86.48,85.94,94.10,92.50,96.62,88.05,87.40,89.28,87.64,83.81,84.77,91.40,90.28,90.08,88.99,
