DayOfYear,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
11,0.0,0.0,0.0,0.0,0.0,0.0,0.3138548158523109,49.05240644348992,136.47930791642932,192.70864942338733,259.48561816745337,312.2574359046088,323.6354815165202,279.9821836683485,200.76223479376898,90.68236520555284,7.086969600783454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.3956563923703997,55.61226383008455,165.18977115028784,276.1054116299278,345.3842319689299,386.39684636969315,368.0462556136282,284.1875941627904,192.48253611514443,86.78265772367779,6.4554075253637215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.43114164993166926,59.80106909275055,158.25681047439576,260.3238737106323,355.0709047317505,424.3788679122925,353.9314043045044,288.025927734375,217.79347543716432,98.17108049392701,7.286793607473373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.48158283773809674,58.31499450206756,164.40824813842772,260.95089025497435,334.9358710289001,400.4689346313477,381.0655645370483,314.3168760299683,215.16772422790527,102.3275134563446,8.365889656543732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.53637735247612,63.62579216957092,186.13584756851196,286.1945514678955,336.2470952987671,359.20717124938966,321.9541549682617,274.65695962905886,203.00871992111206,97.19124546051026,9.020328563451766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.6041910324245692,61.87187986373901,168.14944696426392,272.139271736145,342.37907752990725,378.83091163635254,353.75927963256834,283.6794214248657,203.39600591659547,96.32749242782593,9.181686180830003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.5581258833408356,61.91192779541016,192.44765014648436,314.0442497253418,382.8638647079468,434.4331336975098,407.6687520980835,337.82904663085935,240.97962055206298,117.88673529624938,12.960577750205994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.7015908703207969,64.27247562408448,177.2340654373169,274.8728306770325,325.4910442352295,358.3822334289551,361.6639184951782,289.4006999969482,211.31338186264037,106.57778472900391,12.421246284246445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.7879377912729979,67.7476233959198,207.2553988456726,311.3507322311401,399.3640022277832,440.35106048583987,409.5875032424927,334.2180660247803,246.12431087493897,128.40744614601135,13.648692119121552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.935944601893425,74.08515186309815,189.99315404891968,300.8934057235718,370.3514192581177,395.4229410171509,388.13020782470704,328.0753849029541,230.92559471130372,113.85195078849793,13.485674279928208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
