DayOfYear,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
32,0.0,0.0,0.0,0.0,0.0,0.0,22.13819765300268,311.03918629549446,418.1272419631374,422.8500235914823,535.3819669073448,504.93893930616287,442.04698824709294,431.9621791774408,394.8346846025437,327.47775446772573,108.74684442114085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,13.501438522504918,204.31708070653474,317.13159536352305,393.25601162564044,410.8707162196673,379.8931363091775,372.90997429082245,368.18836523473726,337.1477465831508,305.9274369624943,120.68863029909065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,22.70579239433282,221.7776123572374,345.51795929010467,377.5287229674506,398.79611475257843,452.3090980548412,472.99560762180306,504.12785091124914,434.3571464992063,299.3045036554337,108.73004420440448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,22.741974315667175,214.89213957935573,371.7678739361101,434.8359753145745,455.6099181777332,479.11607699096203,433.1763055221178,514.2875474568457,429.6325602140164,337.5933261545424,116.19281765967608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,21.69231067437419,213.4638623975684,320.46687506416527,399.20433216542006,399.19077769368886,428.8337626101409,413.43859594210335,410.7966556457548,418.25413937799465,352.6937270954435,129.74219440249726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,27.52678495031041,230.90301403275194,321.04403687119486,345.7721775465601,406.5491167785926,411.6391487302259,401.83537538813465,461.54700422214484,387.9332300715811,301.361513542863,129.79766719490289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,29.305701571668124,262.2162887653934,372.4059910789132,425.08174049644606,405.23671936096844,382.9321027354136,351.48252124198655,397.3235579648366,418.9602563639799,331.5416871726513,128.67989699444442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,35.087543374298896,312.90956008950013,420.8491262020776,465.08053043491964,485.5866427196655,470.0589857339859,436.9999721586704,387.68885813243685,305.12458624392747,280.3416275175881,150.88658436927943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,30.067516612261123,252.89543817836716,338.6361388721969,314.47842853593176,316.0840781814922,276.2548997326383,318.1884329146781,279.4440730550097,265.40781526205757,272.4202706759676,123.91965243675513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,43.13965597921869,276.8608456459839,340.58110342796726,417.0830283484614,462.1015387449755,444.0210117898558,433.3730574041134,392.99138355845224,329.76665152024003,260.5441623362167,143.71255499393632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
