Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
323.00,157.19,154.24,146.96,139.08,131.80,121.45,158.30,160.20,159.39,161.02,162.40,162.37,161.25,160.12,163.06,145.59,165.03,164.68,167.07,163.20,160.17,152.96,145.45,171.83,172.41,175.71,174.88,172.78,171.20,163.97,157.88,171.65,168.64,163.65,163.84,165.53,166.47,167.53,160.81,160.70,179.30,182.70,183.20,184.92,184.53,181.16,177.49,170.93,162.32,
324.00,170.88,168.03,160.59,151.52,143.16,131.36,172.28,173.86,173.36,174.92,175.47,176.25,174.72,174.66,177.47,158.55,179.83,179.22,181.26,177.65,173.91,165.95,158.33,187.03,187.29,190.61,190.24,187.70,185.76,177.92,171.58,185.71,183.34,178.06,177.97,179.19,180.58,181.87,174.97,174.98,193.77,198.57,199.21,200.04,200.18,196.98,192.73,185.44,175.84,
325.00,186.00,183.11,174.94,164.35,155.11,142.32,187.34,188.33,188.38,189.75,190.22,191.10,189.05,190.05,192.88,171.70,195.33,193.96,196.52,192.87,188.77,179.92,172.26,202.56,203.24,207.16,206.61,204.51,201.22,193.56,186.81,200.99,199.33,193.51,193.14,193.89,196.12,197.32,190.02,189.82,209.80,215.28,215.76,217.11,216.85,213.70,209.00,200.69,190.22,
326.00,200.67,198.46,189.55,177.80,167.39,154.58,203.49,203.43,204.75,205.45,205.79,206.75,204.22,206.37,209.25,185.80,211.06,209.40,212.60,209.31,204.57,194.52,186.53,219.30,220.12,224.91,223.62,221.57,217.69,210.45,202.67,216.91,216.15,209.27,208.96,209.89,212.46,213.57,205.64,204.67,226.80,232.88,233.14,234.47,234.62,231.97,225.93,216.83,205.34,
327.00,214.54,211.05,202.31,190.10,178.62,165.31,217.76,216.99,219.31,219.93,220.19,221.00,218.17,220.67,223.34,198.55,225.13,223.61,226.66,223.31,218.17,207.03,199.70,233.95,235.60,240.03,238.73,237.36,232.31,224.80,216.10,231.44,231.81,223.38,222.71,223.37,226.72,227.65,219.62,217.81,242.58,248.40,248.82,249.95,250.48,247.82,241.22,230.47,218.46,
328.00,225.38,221.49,211.83,199.53,187.24,173.90,229.06,227.80,230.11,231.37,231.16,231.48,229.06,231.79,234.73,207.94,236.10,233.89,237.57,234.21,229.58,217.40,209.73,245.35,246.92,251.96,250.07,249.34,243.35,236.31,226.54,242.30,243.35,234.00,233.05,234.42,237.67,238.52,229.79,227.69,254.70,259.84,260.48,262.89,263.21,260.05,253.12,241.25,229.27,
329.00,232.90,228.39,218.63,206.15,193.93,180.66,236.66,235.76,238.24,239.68,239.40,239.87,237.39,239.40,241.84,215.00,243.55,241.47,245.77,241.60,237.67,224.96,216.83,253.70,255.20,260.40,258.61,257.45,251.24,244.77,234.11,250.82,251.39,241.56,240.37,242.72,245.16,246.77,236.89,234.84,263.52,268.28,268.88,271.93,271.69,268.45,261.38,248.89,236.88,
330.00,239.05,233.99,224.27,212.00,199.32,185.99,242.69,242.76,244.52,245.81,245.97,246.27,244.26,245.86,247.76,221.21,249.95,247.91,252.56,248.09,243.65,231.11,222.25,260.46,261.31,266.40,264.70,263.59,257.66,250.50,239.88,257.42,257.66,247.41,246.64,249.61,251.17,252.79,242.51,240.68,270.12,275.46,276.28,279.21,278.92,274.48,267.48,255.49,243.39,
331.00,243.39,238.75,228.35,216.06,203.49,189.33,246.83,247.23,248.72,249.96,250.44,250.41,249.03,249.66,252.17,225.26,254.64,252.42,257.03,252.13,247.91,235.17,226.30,264.75,265.84,270.64,269.10,267.35,262.32,254.33,243.27,262.02,261.29,252.20,250.73,253.98,255.05,257.10,246.25,244.95,274.49,279.87,280.65,283.78,283.62,278.69,271.51,259.90,247.99,
332.00,245.88,242.12,231.11,218.08,206.40,191.57,249.67,250.63,250.96,252.17,252.83,253.56,252.07,252.52,254.68,227.93,257.65,255.24,260.18,254.43,250.08,237.79,228.60,267.88,268.29,273.21,272.22,269.74,265.47,256.82,244.92,265.23,263.19,254.65,253.50,257.25,257.14,259.48,248.08,247.12,276.82,282.78,283.14,285.80,286.40,281.07,274.01,263.30,250.62,
